persona_id,day,choice,raw,peak_temp,indoor_temp,district,has_ac,age
frau_mueller,0,B,"B. I suppose I should close the blinds and drink more water, though I still don’t trust all this fuss about the heat.",32.5,30.1,Altstadt,False,81
frau_mueller,1,B,"B. It's too hot out there, so I'll stay home and make sure to keep the blinds closed and drink plenty of water.",34.5,31.8,Altstadt,False,81
frau_mueller,2,B,"B. I suppose I will stay home but take precautions; the heat is unbearable, and I don’t want to risk feeling faint.",35.5,32.8,Altstadt,False,81
frau_mueller,3,B,B. I suppose I should close the blinds and drink more water; I just can't bear the thought of going out in this heat.,36.5,33.8,Altstadt,False,81
frau_mueller,4,B,"B. I suppose I should close the blinds and drink more water; this heat is becoming unbearable, and I don’t want to end up in the hospital like those poor souls.",36.5,33.8,Altstadt,False,81
frau_mueller,5,B,"B. I suppose I should stay home but take precautions; it's too hot, and I need to keep cool and hydrated until the cold front arrives.",34.5,31.5,Altstadt,False,81
herr_schmidt,0,B,B. I shall stay home but take precautions; it's wise to keep the blinds closed and stay hydrated during this heatwave.,32.4,24.0,Petershausen,True,76
herr_schmidt,1,B,"B. I shall stay home but take precautions, as it's wiser to avoid the heat and take care of myself in these extreme temperatures.",34.4,24.0,Petershausen,True,76
herr_schmidt,2,B,"B. I will stay home but take precautions by closing the blinds, drinking more water, and avoiding the heat outside.",35.4,24.0,Petershausen,True,76
herr_schmidt,3,B,"B. I will stay home but take precautions; it’s far too hot outside, and I must take care of myself.",36.4,24.0,Petershausen,True,76
herr_schmidt,4,B,B. I will stay home but take precautions to stay comfortable and safe in this heat.,36.4,24.0,Petershausen,True,76
herr_schmidt,5,B,"B. Today, I will stay home but take precautions to stay comfortable in this heat.",34.4,24.0,Petershausen,True,76
anna,0,D,"D. I want to check on Frau Müller to see if she needs anything during this heatwave, as she's elderly and might struggle with the heat.",32.1,29.9,Paradies,False,22
anna,1,B,B. I'll stay home but take precautions to stay cool and hydrated during this heatwave.,34.1,31.6,Paradies,False,22
anna,2,C,"C. I want to beat the heat and find a cooler place to study and relax, so the cooling centre at Universität Paradies-Foyer sounds perfect.",35.1,32.6,Paradies,False,22
anna,3,C,C. I need to get to the cooling centre at Universität Paradies-Foyer to escape this heat and recharge for my studies.,36.1,33.6,Paradies,False,22
anna,4,C,C. Visiting the cooling centre at Universität Paradies-Foyer seems like the best option to escape the heat and stay focused on my studies.,36.1,33.6,Paradies,False,22
anna,5,B,"B. I’ll stay home but take precautions by closing the blinds, drinking more water, and avoiding going out to stay cool and safe during this heatwave.",34.1,31.3,Paradies,False,22
costa_silva,0,B,"B. Today is too hot, so I will stay home but take precautions by closing the blinds and drinking plenty of water.",32.3,30.0,Wollmatingen,False,38
costa_silva,1,B,"B. Today is too hot, so I will stay home, close the blinds, and make sure we all drink plenty of water.",34.3,31.7,Wollmatingen,False,38
costa_silva,2,B,B. Hoje estou mantendo as cortinas fechadas e garantindo que as crianças bebam bastante água para não sofrerem com o calor.,35.3,32.7,Wollmatingen,False,38
costa_silva,3,C,C. I think it's best to visit the cooling centre at Wollmatinger Gemeindesaal to escape this heat and keep my family safe.,36.3,33.7,Wollmatingen,False,38
